fiyat,il,ilce,emlak_tipi,m2_brut,m2_net,oda,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo,balkon,esyali,kullanim_durumu,site_icerisinde,krediye_uygun,kimden,takas,salon,banyo/oda
770000,istanbul,maltepe,daire,93,82,2,0,2,4,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
387000,istanbul,güngören,daire,100,90,2,28,3,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
415000,istanbul,avcılar,daire,100,85,2,2,7,15,merkezi,1,var,hayır,boş,hayır,hayır,inşaat firmasından,hayır,1,0.5
750000,istanbul,maltepe,daire,95,90,2,0,3,10,merkezi,1,yok,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
289000,istanbul,esenyurt,daire,110,95,2,2,6,9,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,1.0
159000,istanbul,esenyurt,daire,120,95,2,2,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
272000,istanbul,başakşehir,daire,80,70,2,1,giriş katı,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
480000,istanbul,şişli,daire,100,90,2,23,4,6,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
475000,istanbul,maltepe,daire,93,84,2,7,bahçe katı,4,doğalgaz,1,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
475000,istanbul,ümraniye,daire,105,62,2,0,giriş katı,9,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
810000,istanbul,avcılar,daire,116,90,2,7,14,14,doğalgaz,2,var,hayır,mülk sahibi,evet,evet,emlak ofisinden,hayır,1,1.0
760000,istanbul,üsküdar,daire,93,68,2,0,2,7,doğalgaz,1,yok,hayır,boş,evet,evet,inşaat firmasından,hayır,1,0.5
265000,istanbul,sultanbeyli,daire,90,80,2,0,2,3,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
217000,istanbul,esenyurt,daire,95,90,2,7,3,6,doğalgaz,1,var,hayır,kiracılı,hayır,evet,inşaat firmasından,hayır,1,0.5
339000,istanbul,esenyurt,daire,110,100,2,0,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,sahibinden,evet,1,0.5
655000,istanbul,üsküdar,daire,85,75,2,0,bahçe katı,6,doğalgaz,1,var,hayır,boş,evet,evet,sahibinden,hayır,1,0.5
159000,istanbul,beylikdüzü,daire,105,95,2,0,2,4,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
400000,istanbul,bahçelievler,daire,75,75,2,7,4,5,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
390000,istanbul,beylikdüzü,daire,100,80,2,1,bahçe katı,3,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
325000,istanbul,avcılar,daire,75,65,2,7,bahçe katı,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
465000,istanbul,beylikdüzü,daire,100,90,2,0,1,5,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,1.0
415000,istanbul,avcılar,daire,110,100,2,0,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
320000,istanbul,şişli,daire,110,90,2,23,8,8,doğalgaz,2,var,hayır,mülk sahibi,hayır,hayır,emlak ofisinden,hayır,1,1.0
750000,istanbul,ümraniye,daire,100,85,2,0,2,13,merkezi,2,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,1.0
660000,istanbul,maltepe,daire,105,90,2,2,1,4,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
660000,istanbul,maltepe,daire,105,90,2,2,1,4,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
625000,istanbul,küçükçekmece,daire,115,91,2,0,1,11,merkezi,2,var,hayır,boş,evet,evet,inşaat firmasından,hayır,1,1.0
312000,istanbul,eyüpsultan,daire,83,78,2,0,yüksek giriş,3,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
670000,istanbul,maltepe,daire,110,95,2,4,1,5,doğalgaz,1,var,hayır,mülk sahibi,hayır,evet,emlak ofisinden,hayır,1,0.5
985000,istanbul,tuzla,daire,160,157,3,7,2,4,doğalgaz,2,var,hayır,mülk sahibi,evet,evet,emlak ofisinden,evet,1,0.6666666666666666
800000,istanbul,eyüpsultan,daire,100,75,2,4,bahçe katı,4,merkezi,1,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
405000,istanbul,maltepe,daire,105,90,2,23,5,6,doğalgaz,2,var,hayır,kiracılı,hayır,hayır,emlak ofisinden,hayır,1,1.0
949000,istanbul,maltepe,residence,101,64,2,0,13,18,merkezi,1,yok,hayır,boş,evet,hayır,inşaat firmasından,hayır,1,0.5
790000,istanbul,kadıköy,daire,85,75,2,23,yüksek giriş,5,merkezi,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
439000,istanbul,eyüpsultan,daire,135,125,4,0,3,3,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
590000,istanbul,gaziosmanpaşa,daire,115,105,2,0,3,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
430000,istanbul,maltepe,daire,93,82,2,7,yüksek giriş,4,doğalgaz,1,yok,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
348000,istanbul,ümraniye,daire,100,75,2,23,4,5,doğalgaz,1,var,hayır,mülk sahibi,hayır,hayır,emlak ofisinden,hayır,1,0.5
210000,istanbul,küçükçekmece,daire,75,70,2,3,bahçe katı,5,doğalgaz,1,yok,hayır,boş,hayır,evet,sahibinden,hayır,1,0.5
