fiyat,il,ilce,ilan_tarihi,emlak_tipi,m²_(brüt),m²_(net),oda_sayısı,bina_yaşı,bulunduğu_kat,kat_sayısı,isıtma,banyo_sayısı,balkon,eşyalı,kullanım_durumu,site_içerisinde,aidat_(tl),krediye_uygun,kimden,görüntülü_arama_ile_gezilebilir,takas
365000,istanbul , pendik ,  18 ocak 2021,  satılık daire ,  105,  90,  2+1,  3,  3,  7,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  60,  evet,  emlak ofisinden,  evet,  hayır 
870000,istanbul , kadıköy ,  18 ocak 2021,  satılık daire ,  130,  90,  2+1,  26-30 arası,  bahçe katı,  4,  doğalgaz (kombi),  1,  yok,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
1050000,istanbul , maltepe ,  18 ocak 2021,  satılık daire ,  150,  120,  3+1,  0,  5,  5,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
290000,istanbul , esenyurt ,  18 ocak 2021,  satılık daire ,  100,  95,  25+1,  11-15 arası,  yüksek giriş,  5,  doğalgaz (kombi),  2,  yok,  hayır,  mülk sahibi,  hayır,  20,  evet,  sahibinden,  hayır,  hayır 
290000,istanbul , esenyurt ,  18 ocak 2021,  satılık daire ,  100,  95,  25+1,  11-15 arası,  yüksek giriş,  5,  doğalgaz (kombi),  2,  yok,  hayır,  mülk sahibi,  hayır,  20,  evet,  sahibinden,  hayır,  hayır 
2700000,istanbul , başakşehir ,  18 ocak 2021,  satılık daire ,  232,  183,  4+1,  3,  3,  11,  merkezi (pay ölçer),  2,  var,  hayır,  boş,  belirtilmemiş,  hayat park plus,  evet,  emlak ofisinden,  hayır,  hayır 
1275000,istanbul , maltepe ,  18 ocak 2021,  satılık daire ,  130,  110,  3+1,  5-10 arası,  5,  6,  doğalgaz (kombi),  2,  var,  hayır,  mülk sahibi,  hayır,  100,  evet,  sahibinden,  evet,  hayır 
449000,istanbul , esenler ,  18 ocak 2021,  satılık daire ,  75,  65,  2+1,  0,  8,  15,  merkezi,  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
425000,istanbul , şişli ,  18 ocak 2021,  satılık daire ,  77,  72,  2+1,  5-10 arası,  1,  5,  doğalgaz (kombi),  1,  var,  evet,  boş,  hayır,  35,  evet,  inşaat firmasından,  evet,  evet 
639000,istanbul , beylikdüzü ,  18 ocak 2021,  satılık daire ,  140,  130,  3+1,  16-20 arası,  yüksek giriş,  8,  doğalgaz (kombi),  2,  var,  hayır,  boş,  belirtilmemiş,  ihlas marmara evleri 1 kısım,  evet,  emlak ofisinden,  evet,  evet 
fiyat,il,ilce,ilan_tarihi,emlak_tipi,m²_(brüt),m²_(net),oda_sayısı,bina_yaşı,bulunduğu_kat,kat_sayısı,isıtma,banyo_sayısı,balkon,eşyalı,kullanım_durumu,site_içerisinde,aidat_(tl),krediye_uygun,kimden,görüntülü_arama_ile_gezilebilir,takas
395000,istanbul , esenyurt ,  17 ocak 2021,  satılık daire ,  95,  85,  2+1,  4,  1,  4,  doğalgaz (kombi),  1,  var,  hayır,  mülk sahibi,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  evet,  evet 
